Incident_Num,Shooting_Date,District,Shooting_Type_V2,Victim_Gender,Victim_Race,Victim_Ethnicity_NIBRS,Multi_Victim,Date
I152000196-00,2015-01-01,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152000879-00,2015-01-04,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152001014-00,2015-01-04,E5,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152002232-00,2015-01-08,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152002233-00,2015-01-08,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t,
I152002234-00,2015-01-08,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152002215-00,2015-01-08,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152003226-00,2015-01-12,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152004092-00,2015-01-16,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152005490-00,2015-01-20,E13,Non-Fatal,Male,White,Hispanic or Latinx,f,
I152005465-00,2015-01-20,B2,Fatal,Male,White,Not Hispanic or Latinx,f,
I152005806-00,2015-01-22,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152006073-00,2015-01-22,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t,
I152006114-00,2015-01-22,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152005008-00,2015-01-19,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152006505-00,2015-01-23,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152006535-00,2015-01-23,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152006455-00,2015-01-23,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152006514-00,2015-01-23,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152006534-00,2015-01-23,E13,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t,
I152006502-00,2015-01-23,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152009379-00,2015-02-04,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152010507-00,2015-02-08,B3,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f,
